by,descendants,id,kids,score,time,title,type,url,text
quibuss,70.0,40284111,"[40284312, 40284628, 40285079, 40284745, 40287027, 40285154, 40284433, 40285904, 40285842, 40284695, 40284820, 40284591, 40291764, 40286053, 40285794, 40284763, 40284403]",180,1715078866,Novel attack against virtually all VPN apps neuters their entire purpose,story,https://arstechnica.com/security/2024/05/novel-attack-against-virtually-all-vpn-apps-neuters-their-entire-purpose/,
reitzensteinm,0.0,40290171,,9,1715108891,Temporal Fuzzing I: Memory Models (2021),story,https://www.reitzen.com/post/temporal-fuzzing-01/,
oscarjohne,0.0,40291596,,3,1715116587,Open-Source Components for TailwindCSS,story,https://tw-elements.com/,
mitchbob,2.0,40291577,"[40291653, 40291680, 40291605]",4,1715116490,Misconceptions about SB 1047,story,https://asteriskmag.com/issues/06/why-is-everyone-suddenly-furious-about-ai-regulation,
ggeorgovassilis,44.0,40262626,"[40272958, 40271934, 40272011, 40276008, 40273025, 40279014, 40273675, 40276988, 40274215, 40276732, 40271453, 40272422, 40273597]",207,1714888922,A High-Level Technical Overview of Homomorphic Encryption,story,https://www.jeremykun.com/2024/05/04/fhe-overview/,
jerlam,18.0,40290440,"[40292087, 40291659, 40293172, 40292386]",53,1715110123,Do you need a dentist visit every 6 months? That filling? The data is weak,story,https://arstechnica.com/science/2024/05/do-you-need-a-dentist-visit-every-6-months-that-filling-the-data-is-weak/,
speckx,37.0,40276442,"[40277775, 40276833, 40280929, 40278067, 40284453, 40284186]",112,1715012869,Spending an afternoon in the Sizewell control-room simulator,story,https://www.bentasker.co.uk/posts/blog/general/an-afternoon-in-sizewell-b-control-room-simulator.html,
rrr_oh_man,0.0,40284020,,20,1715077596,Multiplayer Zork on Telnet,story,https://multizork.icculus.org/,
ryebread777,128.0,40273470,"[40279932, 40274854, 40276042, 40274625, 40274930, 40294141, 40282326, 40280557, 40278086, 40281251, 40276261, 40275583, 40275868, 40274549, 40280269, 40282475, 40281381, 40274753, 40279704, 40274603, 40280109, 40274787, 40278889, 40278534, 40274747, 40275404, 40282972, 40281246, 40274701, 40279140, 40278913, 40274547, 40278023, 40274476, 40281589, 40275280, 40278526, 40278079, 40280544, 40274573, 40275202, 40274902]",407,1714995761,Show HN: A free site to explore and discover 6k plants,story,https://www.getanyplant.com/plants,"I’ve loved keeping plants since I was a kid. But the online world of plants can be confusing - strange vocabulary, plants going by conflicting names, and hundreds of niche websites. I wanted to create a site that would organize all of this info and make it easier to explore and discover new plants. That’s why I created GetAnyPlant, which aggregates and matches plants from dozens of online stores. It includes huge amounts of data on these plants along with filters and categories to help you search. You can also save plants to your wishlist and add notes to them.<p>I’m a data scientist by profession, so probably 80% of the work was totally new to me. I built v1 using wordpress , v2 using django, and v3 I pivoted to using react and next js for frontend.<p>I would greatly appreciate any feedback on the site as well as any advice on how to grow it."
MarlonPro,1.0,40288047,"[40290510, 40288094]",39,1715100064,"Yes, People Still Buy Books: How a viral post got some key statistics wrong",story,https://slate.com/culture/2024/04/book-sales-publishing-industry-statistics-substack-penguin-lawsuit.html,
